"x"
"1","survey"
"mode","Freq"
"3","3",51851291.0048519
"4","4",28185461.1647937
"5","5",21270475.5031393
"6","6",6099810.61257652
"7","8",1781955.54020896
"mode","Freq"
"1","1",3163694
"2","2",35412
"3","3",6964525
"4","4",4630519
"5","5",3286873
"6","6",663362
"7","8",429309
"mode","Freq"
"1","1",1.29408162637352
"2","2",4.58543426371988
"3","3",7.44505777563465
"4","4",6.08689029562209
"5","5",6.47134084679857
"6","6",9.19529700612413
"7","8",4.15075281489315
"x"
"1","bkrcast_lodes"
"mode","Freq"
"1","1",4094078.27686816
"2","2",162379.398146848
"3","3",51851291.0048519
"4","4",28185461.1647937
"5","5",21270475.5031393
"6","6",6099810.61257652
"7","8",1781955.54020896
"mode","Freq"
"1","1",3163694
"2","2",35412
"3","3",6964525
"4","4",4630519
"5","5",3286873
"6","6",663362
"7","8",429309
"mode","Freq"
"1","1",1.29408162637352
"2","2",4.58543426371988
"3","3",7.44505777563465
"4","4",6.08689029562209
"5","5",6.47134084679857
"6","6",9.19529700612413
"7","8",4.15075281489315
"x"
"1","bkrcast_lodes_in"
"mode","Freq"
"1","1",580732.735043346
"2","2",23584.7460139697
"3","3",5406206.23720253
"4","4",3161715.10522273
"5","5",2044759.34559343
"6","6",416366.385567677
"7","8",189906.317175884
"mode","Freq"
"1","1",279853
"2","2",3477
"3","3",863959
"4","4",578018
"5","5",380791
"6","6",58761
"7","8",52627
"mode","Freq"
"1","1",2.07513492813493
"2","2",6.78307334310316
"3","3",6.25748008551624
"4","4",5.46992499407065
"5","5",5.36976805017302
"6","6",7.08576071829405
"7","8",3.60853396879708
"x"
"1","bkrcast_lodes_out"
"mode","Freq"
"1","1",3513345.54182481
"2","2",138794.652132879
"3","3",46445084.7676495
"4","4",25023746.0595709
"5","5",19225716.1575459
"6","6",5683444.22700884
"7","8",1592049.22303308
"mode","Freq"
"1","1",2883841
"2","2",31935
"3","3",6100566
"4","4",4052501
"5","5",2906082
"6","6",604601
"7","8",376682
"mode","Freq"
"1","1",1.21828684099602
"2","2",4.34616101872174
"3","3",7.61324191356171
"4","4",6.17488954588066
"5","5",6.61568261237843
"6","6",9.40032224063281
"7","8",4.22650730067559
"x"
"1","bkrcast_esd"
"mode","Freq"
"1","1",4094078.27686816
"2","2",162379.398146848
"3","3",51851291.0048519
"4","4",28185461.1647937
"5","5",21270475.5031393
"6","6",6099810.61257652
"7","8",1781955.54020896
"mode","Freq"
"1","1",3163694
"2","2",35412
"3","3",6964525
"4","4",4630519
"5","5",3286873
"6","6",663362
"7","8",429309
"mode","Freq"
"1","1",1.29408162637352
"2","2",4.58543426371988
"3","3",7.44505777563465
"4","4",6.08689029562209
"5","5",6.47134084679857
"6","6",9.19529700612413
"7","8",4.15075281489315
"x"
"1","bkrcast_esd_in"
"mode","Freq"
"1","1",580732.735043346
"2","2",23584.7460139697
"3","3",5406206.23720253
"4","4",3161715.10522273
"5","5",2044759.34559343
"6","6",416366.385567677
"7","8",189906.317175884
"mode","Freq"
"1","1",279853
"2","2",3477
"3","3",863959
"4","4",578018
"5","5",380791
"6","6",58761
"7","8",52627
"mode","Freq"
"1","1",2.07513492813493
"2","2",6.78307334310316
"3","3",6.25748008551624
"4","4",5.46992499407065
"5","5",5.36976805017302
"6","6",7.08576071829405
"7","8",3.60853396879708
"x"
"1","bkrcast_esd_out"
"mode","Freq"
"1","1",3513345.54182481
"2","2",138794.652132879
"3","3",46445084.7676495
"4","4",25023746.0595709
"5","5",19225716.1575459
"6","6",5683444.22700884
"7","8",1592049.22303308
"mode","Freq"
"1","1",2883841
"2","2",31935
"3","3",6100566
"4","4",4052501
"5","5",2906082
"6","6",604601
"7","8",376682
"mode","Freq"
"1","1",1.21828684099602
"2","2",4.34616101872174
"3","3",7.61324191356171
"4","4",6.17488954588066
"5","5",6.61568261237843
"6","6",9.40032224063281
"7","8",4.22650730067559
